,symbol,metric,value
1508,AVGO,Day's Range,"1,393.16 - 1,416.89 "
1509,AVGO,52 Week Range,"676.06 - 1,445.40 "
1510,AVGO,Volume,"2,552,165 "
1511,AVGO,Avg. Volume,"2,873,820 "
1512,AVGO,Market Cap (intraday),655.291B 
1513,AVGO,Beta (5Y Monthly),1.26
1514,AVGO,PE Ratio (TTM),52.62 
1515,AVGO,EPS (TTM),26.87 
1516,AVGO,Earnings Date,"Jun 12, 2024"
1517,AVGO,Forward Dividend & Yield,21.00 (1.49%)
1518,AVGO,Ex-Dividend Date,"Mar 20, 2024"
1519,AVGO,1y Target Est,"1,397.39 "
1520,BR,Previous Close,203.96 
1521,BR,Open,204.08 
1522,BR,Bid,202.48 x 800
1523,BR,Ask,202.74 x 1300
1524,BR,Day's Range,201.53 - 203.58 
1525,BR,52 Week Range,144.54 - 210.24 
1526,BR,Volume,"53,363 "
1527,BR,Avg. Volume,"438,514 "
1528,BR,Market Cap (intraday),23.908B 
1529,BR,Beta (5Y Monthly),0.99
1530,BR,PE Ratio (TTM),34.58 
1531,BR,EPS (TTM),5.85 
1532,BR,Earnings Date,"Aug 6, 2024 - Aug 12, 2024"
1533,BR,Forward Dividend & Yield,3.20 (1.57%)
1534,BR,Ex-Dividend Date,"Jun 14, 2024"
1535,BR,1y Target Est,208.79 
1536,BRO,Previous Close,91.16 
1537,BRO,Open,91.03 
1538,BRO,Bid,90.62 x 800
1539,BRO,Ask,90.69 x 1100
1540,BRO,Day's Range,90.34 - 90.99 
1541,BRO,52 Week Range,61.71 - 91.70 
1542,BRO,Volume,"73,024 "
1543,BRO,Avg. Volume,"1,198,201 "
1544,BRO,Market Cap (intraday),25.915B 
1545,BRO,Beta (5Y Monthly),0.80
1546,BRO,PE Ratio (TTM),28.04 
1547,BRO,EPS (TTM),3.24 
1548,BRO,Earnings Date,"Jul 22, 2024 - Jul 26, 2024"
1549,BRO,Forward Dividend & Yield,0.52 (0.57%)
1550,BRO,Ex-Dividend Date,"May 3, 2024"
1551,BRO,1y Target Est,91.26 
1552,BLDR,Previous Close,167.94 
1553,BLDR,Open,166.62 
1554,BLDR,Bid,165.10 x 1000
1555,BLDR,Ask,167.00 x 800
1556,BLDR,Day's Range,165.62 - 168.92 
1557,BLDR,52 Week Range,105.24 - 214.70 
1558,BLDR,Volume,"2,244,818 "
1559,BLDR,Avg. Volume,"1,575,654 "
1560,BLDR,Market Cap (intraday),20.498B 
1561,BLDR,Beta (5Y Monthly),2.08
1562,BLDR,PE Ratio (TTM),14.27 
1563,BLDR,EPS (TTM),11.63 
1564,BLDR,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
1565,BLDR,Forward Dividend & Yield,--
1566,BLDR,Ex-Dividend Date,--
1567,BLDR,1y Target Est,204.98 
1568,BG,Previous Close,103.13 
1569,BG,Open,102.80 
1570,BG,Bid,104.28 x 800
1571,BG,Ask,104.36 x 800
1572,BG,Day's Range,102.78 - 104.49 
1573,BG,52 Week Range,86.10 - 116.59 
1574,BG,Volume,"368,959 "
1575,BG,Avg. Volume,"1,535,470 "
1576,BG,Market Cap (intraday),14.724B 
1577,BG,Beta (5Y Monthly),0.65
1578,BG,PE Ratio (TTM),8.39 
1579,BG,EPS (TTM),12.40 
1580,BG,Earnings Date,--
1581,BG,Forward Dividend & Yield,2.72 (2.64%)
1582,BG,Ex-Dividend Date,"Aug 19, 2024"
1583,BG,1y Target Est,115.61 
1584,CDNS,Previous Close,288.81 
1585,CDNS,Open,288.37 
1586,CDNS,Bid,292.46 x 100
1587,CDNS,Ask,292.72 x 100
1588,CDNS,Day's Range,288.02 - 292.63 
1589,CDNS,52 Week Range,203.13 - 327.36 
1590,CDNS,Volume,"988,009 "
1591,CDNS,Avg. Volume,"1,482,133 "
1592,CDNS,Market Cap (intraday),79.591B 
1593,CDNS,Beta (5Y Monthly),1.06
1594,CDNS,PE Ratio (TTM),76.16 
1595,CDNS,EPS (TTM),3.84 
1596,CDNS,Earnings Date,"Jul 22, 2024 - Jul 26, 2024"
1597,CDNS,Forward Dividend & Yield,--
1598,CDNS,Ex-Dividend Date,--
1599,CDNS,1y Target Est,329.67 
1600,CZR,Previous Close,34.72 
1601,CZR,Open,34.70 
1602,CZR,Bid,33.47 x 400
1603,CZR,Ask,33.55 x 800
1604,CZR,Day's Range,33.41 - 34.84 
1605,CZR,52 Week Range,33.41 - 60.27 
1606,CZR,Volume,"1,634,632 "
1607,CZR,Avg. Volume,"3,471,041 "
1608,CZR,Market Cap (intraday),7.238B 
1609,CZR,Beta (5Y Monthly),2.83
1610,CZR,PE Ratio (TTM),9.46 
1611,CZR,EPS (TTM),3.54 
1612,CZR,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
1613,CZR,Forward Dividend & Yield,--
1614,CZR,Ex-Dividend Date,--
1615,CZR,1y Target Est,55.06 
1616,CPT,Previous Close,105.36 
1617,CPT,Open,105.04 
1618,CPT,Bid,104.73 x 800
1619,CPT,Ask,104.78 x 800
1620,CPT,Day's Range,104.14 - 105.18 
1621,CPT,52 Week Range,82.81 - 114.04 
1622,CPT,Volume,"168,558 "
1623,CPT,Avg. Volume,"1,033,967 "
1624,CPT,Market Cap (intraday),11.165B 
1625,CPT,Beta (5Y Monthly),0.83
1626,CPT,PE Ratio (TTM),25.69 
1627,CPT,EPS (TTM),4.08 
1628,CPT,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
1629,CPT,Forward Dividend & Yield,4.12 (3.91%)
1630,CPT,Ex-Dividend Date,"Mar 27, 2024"
1631,CPT,1y Target Est,106.08 
1632,CPB,Previous Close,46.29 
1633,CPB,Open,45.96 
1634,CPB,Bid,46.07 x 1300
1635,CPB,Ask,46.08 x 900
1636,CPB,Day's Range,45.47 - 46.14 
1637,CPB,52 Week Range,37.94 - 52.12 
1638,CPB,Volume,"254,144 "
1639,CPB,Avg. Volume,"2,534,706 "
1640,CPB,Market Cap (intraday),13.689B 
1641,CPB,Beta (5Y Monthly),0.22
1642,CPB,PE Ratio (TTM),18.01 
1643,CPB,EPS (TTM),2.55 
1644,CPB,Earnings Date,"Jun 5, 2024 - Jun 10, 2024"
1645,CPB,Forward Dividend & Yield,1.48 (3.20%)
1646,CPB,Ex-Dividend Date,"Jul 3, 2024"
1647,CPB,1y Target Est,46.13 
1648,COF,Previous Close,139.43 
1649,COF,Open,139.64 
1650,COF,Bid,137.81 x 800
1651,COF,Ask,137.85 x 900
1652,COF,Day's Range,137.13 - 139.64 
1653,COF,52 Week Range,88.23 - 149.94 
1654,COF,Volume,"594,266 "
1655,COF,Avg. Volume,"2,303,619 "
1656,COF,Market Cap (intraday),52.791B 
1657,COF,Beta (5Y Monthly),1.46
1658,COF,PE Ratio (TTM),10.82 
1659,COF,EPS (TTM),12.77 
1660,COF,Earnings Date,"Jul 18, 2024 - Jul 22, 2024"
1661,COF,Forward Dividend & Yield,2.40 (1.72%)
1662,COF,Ex-Dividend Date,"May 10, 2024"
1663,COF,1y Target Est,152.78 
1664,CAH,Previous Close,97.43 
1665,CAH,Open,97.23 
1666,CAH,Bid,96.50 x 900
1667,CAH,Ask,97.79 x 800
1668,CAH,Day's Range,96.88 - 98.11 
1669,CAH,52 Week Range,80.90 - 116.04 
1670,CAH,Volume,"1,258,717 "
1671,CAH,Avg. Volume,"2,256,688 "
1672,CAH,Market Cap (intraday),23.801B 
1673,CAH,Beta (5Y Monthly),0.71
1674,CAH,PE Ratio (TTM),42.97 
1675,CAH,EPS (TTM),2.26 
1676,CAH,Earnings Date,"Aug 13, 2024 - Aug 19, 2024"
1677,CAH,Forward Dividend & Yield,2.02 (2.08%)
1678,CAH,Ex-Dividend Date,"Jul 1, 2024"
1679,CAH,1y Target Est,113.50 
1680,KMX,Previous Close,69.76 
1681,KMX,Open,69.88 
1682,KMX,Bid,68.98 x 1800
1683,KMX,Ask,69.00 x 900
1684,KMX,Day's Range,68.60 - 69.94 
1685,KMX,52 Week Range,59.66 - 88.22 
1686,KMX,Volume,"314,127 "
1687,KMX,Avg. Volume,"2,112,504 "
1688,KMX,Market Cap (intraday),10.867B 
1689,KMX,Beta (5Y Monthly),1.64
1690,KMX,PE Ratio (TTM),22.87 
1691,KMX,EPS (TTM),3.02 
1692,KMX,Earnings Date,"Jun 21, 2024"
1693,KMX,Forward Dividend & Yield,--
1694,KMX,Ex-Dividend Date,--
1695,KMX,1y Target Est,78.14 
1696,CCL,Previous Close,16.20 
1697,CCL,Open,16.14 
1698,CCL,Bid,15.67 x 3000
1699,CCL,Ask,15.68 x 3100
1700,CCL,Day's Range,15.59 - 16.19 
1701,CCL,52 Week Range,10.38 - 19.74 
1702,CCL,Volume,"25,943,522 "
1703,CCL,Avg. Volume,"30,564,759 "
1704,CCL,Market Cap (intraday),20.501B 
1705,CCL,Beta (5Y Monthly),2.54
1706,CCL,PE Ratio (TTM),48.91 
1707,CCL,EPS (TTM),0.32 
1708,CCL,Earnings Date,"Jun 24, 2024 - Jun 28, 2024"
1709,CCL,Forward Dividend & Yield,--
1710,CCL,Ex-Dividend Date,"Feb 20, 2020"
1711,CCL,1y Target Est,20.82 
1712,CARR,Previous Close,65.35 
1713,CARR,Open,66.17 
1714,CARR,Bid,64.74 x 1000
1715,CARR,Ask,64.78 x 800
1716,CARR,Day's Range,64.64 - 66.37 
1717,CARR,52 Week Range,40.49 - 66.50 
1718,CARR,Volume,"537,932 "
1719,CARR,Avg. Volume,"5,044,359 "
1720,CARR,Market Cap (intraday),58.678B 
1721,CARR,Beta (5Y Monthly),1.21
1722,CARR,PE Ratio (TTM),45.54 
1723,CARR,EPS (TTM),1.43 
1724,CARR,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
1725,CARR,Forward Dividend & Yield,0.76 (1.16%)
1726,CARR,Ex-Dividend Date,"May 2, 2024"
1727,CARR,1y Target Est,65.47 
1728,CTLT,Previous Close,55.61 
1729,CTLT,Open,55.58 
1730,CTLT,Bid,55.37 x 1100
1731,CTLT,Ask,55.43 x 900
1732,CTLT,Day's Range,55.33 - 55.70 
1733,CTLT,52 Week Range,31.50 - 60.20 
1734,CTLT,Volume,"492,466 "
1735,CTLT,Avg. Volume,"1,925,396 "
1736,CTLT,Market Cap (intraday),10.035B 
1737,CTLT,Beta (5Y Monthly),1.18
1738,CTLT,PE Ratio (TTM),-- 
1739,CTLT,EPS (TTM),-6.48 
1740,CTLT,Earnings Date,"May 17, 2024 - May 21, 2024"
1741,CTLT,Forward Dividend & Yield,--
1742,CTLT,Ex-Dividend Date,--
1743,CTLT,1y Target Est,56.70 
1744,CAT,Previous Close,356.27 
1745,CAT,Open,356.40 
1746,CAT,Bid,362.10 x 800
1747,CAT,Ask,--
1748,CAT,Day's Range,354.77 - 364.43 
1749,CAT,52 Week Range,205.60 - 382.01 
1750,CAT,Volume,"2,193,555 "
1751,CAT,Avg. Volume,"2,312,748 "
1752,CAT,Market Cap (intraday),177.404B 
1753,CAT,Beta (5Y Monthly),1.18
1754,CAT,PE Ratio (TTM),16.39 
1755,CAT,EPS (TTM),22.13 
1756,CAT,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
1757,CAT,Forward Dividend & Yield,5.20 (1.43%)
1758,CAT,Ex-Dividend Date,"Apr 19, 2024"
1759,CAT,1y Target Est,334.83 
1760,CBOE,Previous Close,183.74 
1761,CBOE,Open,183.68 
1762,CBOE,Bid,172.51 x 800
1763,CBOE,Ask,191.00 x 1100
1764,CBOE,Day's Range,183.00 - 185.02 
1765,CBOE,52 Week Range,130.92 - 199.00 
1766,CBOE,Volume,"423,085 "
1767,CBOE,Avg. Volume,"789,377 "
1768,CBOE,Market Cap (intraday),19.348B 
1769,CBOE,Beta (5Y Monthly),0.59
1770,CBOE,PE Ratio (TTM),24.70 
1771,CBOE,EPS (TTM),7.45 
1772,CBOE,Earnings Date,"Aug 2, 2024 - Aug 6, 2024"
1773,CBOE,Forward Dividend & Yield,2.20 (1.20%)
1774,CBOE,Ex-Dividend Date,"May 31, 2024"
1775,CBOE,1y Target Est,196.69 
1776,CBRE,Previous Close,89.61 
1777,CBRE,Open,89.75 
1778,CBRE,Bid,89.09 x 900
1779,CBRE,Ask,89.12 x 1100
1780,CBRE,Day's Range,88.26 - 89.43 
1781,CBRE,52 Week Range,64.63 - 98.65 
1782,CBRE,Volume,"262,222 "
1783,CBRE,Avg. Volume,"1,595,246 "
1784,CBRE,Market Cap (intraday),27.332B 
1785,CBRE,Beta (5Y Monthly),1.44
1786,CBRE,PE Ratio (TTM),27.93 
1787,CBRE,EPS (TTM),3.19 
1788,CBRE,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
1789,CBRE,Forward Dividend & Yield,1.50 (1.72%)
1790,CBRE,Ex-Dividend Date,"Apr 19, 2024"
1791,CBRE,1y Target Est,105.57 
1792,CDW,Previous Close,228.24 
1793,CDW,Open,227.50 
1794,CDW,Bid,230.35 x 100
1795,CDW,Ask,230.51 x 100
1796,CDW,Day's Range,227.20 - 230.89 
1797,CDW,52 Week Range,167.57 - 263.37 
1798,CDW,Volume,"954,843 "
1799,CDW,Avg. Volume,"693,074 "
1800,CDW,Market Cap (intraday),30.963B 
1801,CDW,Beta (5Y Monthly),1.09
1802,CDW,PE Ratio (TTM),28.73 
1803,CDW,EPS (TTM),8.02 
1804,CDW,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
1805,CDW,Forward Dividend & Yield,2.48 (1.08%)
1806,CDW,Ex-Dividend Date,"May 23, 2024"
1807,CDW,1y Target Est,249.13 
1808,CE,Previous Close,153.21 
1809,CE,Open,154.08 
1810,CE,Bid,152.05 x 1400
1811,CE,Ask,152.23 x 900
1812,CE,Day's Range,151.30 - 153.91 
1813,CE,52 Week Range,103.23 - 172.16 
1814,CE,Volume,"75,930 "
1815,CE,Avg. Volume,"679,732 "
1816,CE,Market Cap (intraday),16.674B 
1817,CE,Beta (5Y Monthly),1.36
1818,CE,PE Ratio (TTM),8.37 
1819,CE,EPS (TTM),18.25 
1820,CE,Earnings Date,"Aug 5, 2024 - Aug 9, 2024"
1821,CE,Forward Dividend & Yield,2.80 (1.83%)
1822,CE,Ex-Dividend Date,"Apr 26, 2024"
1823,CE,1y Target Est,166.90 
1824,COR,Previous Close,216.75 
1825,COR,Open,218.50 
1826,COR,Bid,219.97 x 800
1827,COR,Ask,220.25 x 800
1828,COR,Day's Range,218.51 - 220.27 
1829,COR,52 Week Range,163.37 - 246.75 
1830,COR,Volume,"310,186 "
1831,COR,Avg. Volume,"1,231,827 "
1832,COR,Market Cap (intraday),43.908B 
1833,COR,Beta (5Y Monthly),0.47
1834,COR,PE Ratio (TTM),24.06 
1835,COR,EPS (TTM),9.15 
1836,COR,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
1837,COR,Forward Dividend & Yield,2.04 (0.94%)
1838,COR,Ex-Dividend Date,"May 9, 2024"
1839,COR,1y Target Est,258.07 
1840,CNC,Previous Close,78.43 
1841,CNC,Open,78.00 
1842,CNC,Bid,77.52 x 1000
1843,CNC,Ask,77.52 x 800
1844,CNC,Day's Range,77.37 - 78.25 
1845,CNC,52 Week Range,60.83 - 81.42 
1846,CNC,Volume,"783,120 "
1847,CNC,Avg. Volume,"3,303,917 "
1848,CNC,Market Cap (intraday),41.449B 
1849,CNC,Beta (5Y Monthly),0.41
1850,CNC,PE Ratio (TTM),15.32 
1851,CNC,EPS (TTM),5.07 
1852,CNC,Earnings Date,"Jul 26, 2024"
1853,CNC,Forward Dividend & Yield,--
1854,CNC,Ex-Dividend Date,--
1855,CNC,1y Target Est,89.52 
1856,CNP,Previous Close,30.41 
1857,CNP,Open,30.20 
1858,CNP,Bid,--
1859,CNP,Ask,--
1860,CNP,Day's Range,30.03 - 30.40 
1861,CNP,52 Week Range,25.42 - 31.44 
1862,CNP,Volume,"4,690,154 "
1863,CNP,Avg. Volume,"4,547,053 "
1864,CNP,Market Cap (intraday),19.23B 
1865,CNP,Beta (5Y Monthly),0.91
1866,CNP,PE Ratio (TTM),21.17 
1867,CNP,EPS (TTM),1.42 
1868,CNP,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
1869,CNP,Forward Dividend & Yield,0.80 (2.66%)
1870,CNP,Ex-Dividend Date,"May 15, 2024"
1871,CNP,1y Target Est,30.88 
1872,CF,Previous Close,79.68 
1873,CF,Open,79.43 
1874,CF,Bid,77.82 x 1100
1875,CF,Ask,77.98 x 1000
1876,CF,Day's Range,77.80 - 79.52 
1877,CF,52 Week Range,60.08 - 87.90 
1878,CF,Volume,"283,251 "
1879,CF,Avg. Volume,"2,618,987 "
1880,CF,Market Cap (intraday),14.312B 
1881,CF,Beta (5Y Monthly),1.02
1882,CF,PE Ratio (TTM),12.94 
1883,CF,EPS (TTM),6.05 
1884,CF,Earnings Date,"Aug 7, 2024"
1885,CF,Forward Dividend & Yield,2.00 (2.51%)
1886,CF,Ex-Dividend Date,"May 14, 2024"
1887,CF,1y Target Est,82.39 
1888,CHRW,Previous Close,84.34 
1889,CHRW,Open,84.01 
1890,CHRW,Bid,84.57 x 200
1891,CHRW,Ask,84.89 x 200
1892,CHRW,Day's Range,83.85 - 85.25 
1893,CHRW,52 Week Range,65.00 - 100.88 
1894,CHRW,Volume,"537,618 "
1895,CHRW,Avg. Volume,"1,752,543 "
1896,CHRW,Market Cap (intraday),9.925B 
1897,CHRW,Beta (5Y Monthly),0.75
1898,CHRW,PE Ratio (TTM),33.37 
1899,CHRW,EPS (TTM),2.54 
1900,CHRW,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
1901,CHRW,Forward Dividend & Yield,2.44 (2.89%)
1902,CHRW,Ex-Dividend Date,"Jun 7, 2024"
1903,CHRW,1y Target Est,80.94 
1904,CRL,Previous Close,224.75 
1905,CRL,Open,225.29 
1906,CRL,Bid,210.00 x 900
1907,CRL,Ask,226.93 x 800
1908,CRL,Day's Range,220.40 - 224.72 
1909,CRL,52 Week Range,161.65 - 275.00 
1910,CRL,Volume,"927,644 "
1911,CRL,Avg. Volume,"536,561 "
1912,CRL,Market Cap (intraday),11.416B 
1913,CRL,Beta (5Y Monthly),1.44
1914,CRL,PE Ratio (TTM),26.04 
1915,CRL,EPS (TTM),8.51 
1916,CRL,Earnings Date,"Aug 7, 2024 - Aug 12, 2024"
1917,CRL,Forward Dividend & Yield,--
1918,CRL,Ex-Dividend Date,--
1919,CRL,1y Target Est,262.80 
1920,SCHW,Previous Close,75.27 
1921,SCHW,Open,74.59 
1922,SCHW,Bid,72.90 x 1100
1923,SCHW,Ask,72.90 x 1300
1924,SCHW,Day's Range,72.11 - 74.64 
1925,SCHW,52 Week Range,48.66 - 79.49 
1926,SCHW,Volume,"5,232,506 "
1927,SCHW,Avg. Volume,"7,260,872 "
1928,SCHW,Market Cap (intraday),133.575B 
1929,SCHW,Beta (5Y Monthly),0.98
1930,SCHW,PE Ratio (TTM),30.57 
1931,SCHW,EPS (TTM),2.39 
1932,SCHW,Earnings Date,"Jul 16, 2024 - Jul 22, 2024"
1933,SCHW,Forward Dividend & Yield,1.00 (1.33%)
1934,SCHW,Ex-Dividend Date,"May 9, 2024"
1935,SCHW,1y Target Est,78.56 
1936,CHTR,Previous Close,271.09 
1937,CHTR,Open,270.50 
1938,CHTR,Bid,267.47 x 200
1939,CHTR,Ask,268.79 x 200
1940,CHTR,Day's Range,267.86 - 270.70 
1941,CHTR,52 Week Range,236.08 - 458.30 
1942,CHTR,Volume,"320,878 "
1943,CHTR,Avg. Volume,"1,420,990 "
1944,CHTR,Market Cap (intraday),38.614B 
1945,CHTR,Beta (5Y Monthly),0.97
1946,CHTR,PE Ratio (TTM),8.68 
1947,CHTR,EPS (TTM),30.88 
1948,CHTR,Earnings Date,"Jul 26, 2024 - Jul 30, 2024"
1949,CHTR,Forward Dividend & Yield,--
1950,CHTR,Ex-Dividend Date,--
1951,CHTR,1y Target Est,334.76 
1952,CVX,Previous Close,161.09 
1953,CVX,Open,161.75 
1954,CVX,Bid,--
1955,CVX,Ask,--
1956,CVX,Day's Range,161.19 - 162.97 
1957,CVX,52 Week Range,139.62 - 171.70 
1958,CVX,Volume,"5,497,919 "
1959,CVX,Avg. Volume,"7,982,819 "
1960,CVX,Market Cap (intraday),299.796B 
1961,CVX,Beta (5Y Monthly),1.11
1962,CVX,PE Ratio (TTM),14.97 
1963,CVX,EPS (TTM),10.87 
1964,CVX,Earnings Date,"Jul 26, 2024 - Jul 30, 2024"
1965,CVX,Forward Dividend & Yield,6.52 (4.01%)
1966,CVX,Ex-Dividend Date,"May 16, 2024"
1967,CVX,1y Target Est,184.29 
1968,CMG,Previous Close,"3,153.38 "
1969,CMG,Open,"3,160.00 "
1970,CMG,Bid,--
1971,CMG,Ask,--
1972,CMG,Day's Range,"3,138.08 - 3,165.32 "
1973,CMG,52 Week Range,"1,768.64 - 3,260.00 "
1974,CMG,Volume,"68,202 "
1975,CMG,Avg. Volume,"243,301 "
1976,CMG,Market Cap (intraday),86.943B 
1977,CMG,Beta (5Y Monthly),1.26
1978,CMG,PE Ratio (TTM),67.36 
1979,CMG,EPS (TTM),46.99 
1980,CMG,Earnings Date,"Jul 24, 2024 - Jul 29, 2024"
1981,CMG,Forward Dividend & Yield,--
1982,CMG,Ex-Dividend Date,--
1983,CMG,1y Target Est,"3,242.01 "
1984,CB,Previous Close,267.44 
1985,CB,Open,268.75 
1986,CB,Bid,266.15 x 1400
1987,CB,Ask,266.30 x 900
1988,CB,Day's Range,265.90 - 268.50 
1989,CB,52 Week Range,183.71 - 275.41 
1990,CB,Volume,"354,768 "
1991,CB,Avg. Volume,"1,699,635 "
1992,CB,Market Cap (intraday),108.002B 
1993,CB,Beta (5Y Monthly),0.63
1994,CB,PE Ratio (TTM),11.83 
1995,CB,EPS (TTM),22.49 
1996,CB,Earnings Date,"Jul 23, 2024 - Jul 29, 2024"
1997,CB,Forward Dividend & Yield,3.64 (1.36%)
1998,CB,Ex-Dividend Date,"Jun 13, 2024"
1999,CB,1y Target Est,270.10 
2000,CHD,Previous Close,106.51 
2001,CHD,Open,106.95 
2002,CHD,Bid,97.04 x 1400
2003,CHD,Ask,--
2004,CHD,Day's Range,106.46 - 107.31 
2005,CHD,52 Week Range,82.25 - 108.68 
2006,CHD,Volume,"788,307 "
2007,CHD,Avg. Volume,"1,165,537 "
2008,CHD,Market Cap (intraday),26.179B 
2009,CHD,Beta (5Y Monthly),0.51
2010,CHD,PE Ratio (TTM),33.88 
2011,CHD,EPS (TTM),3.16 
2012,CHD,Earnings Date,"Jul 26, 2024 - Jul 30, 2024"
2013,CHD,Forward Dividend & Yield,1.14 (1.06%)
2014,CHD,Ex-Dividend Date,"May 14, 2024"
2015,CHD,1y Target Est,108.35 
2016,CI,Previous Close,336.47 
2017,CI,Open,335.72 
2018,CI,Bid,338.01 x 900
2019,CI,Ask,338.21 x 800
2020,CI,Day's Range,335.59 - 338.66 
2021,CI,52 Week Range,240.50 - 365.71 
2022,CI,Volume,"297,974 "
2023,CI,Avg. Volume,"1,535,769 "
2024,CI,Market Cap (intraday),96.104B 
2025,CI,Beta (5Y Monthly),0.58
2026,CI,PE Ratio (TTM),27.78 
2027,CI,EPS (TTM),12.18 
2028,CI,Earnings Date,"Aug 1, 2024"
2029,CI,Forward Dividend & Yield,5.60 (1.66%)
2030,CI,Ex-Dividend Date,"Jun 4, 2024"
2031,CI,1y Target Est,392.29 
2032,CINF,Previous Close,118.52 
2033,CINF,Open,119.20 
2034,CINF,Bid,120.00 x 100
2035,CINF,Ask,120.08 x 100
2036,CINF,Day's Range,118.45 - 120.14 
2037,CINF,52 Week Range,95.01 - 124.35 
2038,CINF,Volume,"463,504 "
2039,CINF,Avg. Volume,"887,768 "
2040,CINF,Market Cap (intraday),18.812B 
2041,CINF,Beta (5Y Monthly),0.64
2042,CINF,PE Ratio (TTM),7.99 
2043,CINF,EPS (TTM),15.02 
2044,CINF,Earnings Date,"Jul 25, 2024 - Jul 29, 2024"
2045,CINF,Forward Dividend & Yield,3.24 (2.70%)
2046,CINF,Ex-Dividend Date,"Jun 18, 2024"
2047,CINF,1y Target Est,129.57 
2048,CTAS,Previous Close,697.46 
2049,CTAS,Open,699.52 
2050,CTAS,Bid,699.28 x 100
2051,CTAS,Ask,700.09 x 100
2052,CTAS,Day's Range,692.70 - 699.95 
2053,CTAS,52 Week Range,458.00 - 704.84 
2054,CTAS,Volume,"276,363 "
2055,CTAS,Avg. Volume,"358,361 "
2056,CTAS,Market Cap (intraday),71.019B 
2057,CTAS,Beta (5Y Monthly),1.26
2058,CTAS,PE Ratio (TTM),48.24 
2059,CTAS,EPS (TTM),14.51 
2060,CTAS,Earnings Date,"Jul 11, 2024 - Jul 15, 2024"
2061,CTAS,Forward Dividend & Yield,5.40 (0.77%)
2062,CTAS,Ex-Dividend Date,"May 14, 2024"
2063,CTAS,1y Target Est,705.82 
2064,CSCO,Previous Close,47.43 
2065,CSCO,Open,47.16 
2066,CSCO,Bid,47.05 x 300
2067,CSCO,Ask,47.10 x 300
2068,CSCO,Day's Range,46.74 - 47.19 
2069,CSCO,52 Week Range,46.20 - 58.19 
2070,CSCO,Volume,"4,844,843 "
2071,CSCO,Avg. Volume,"19,083,959 "
2072,CSCO,Market Cap (intraday),189.656B 
2073,CSCO,Beta (5Y Monthly),0.86
2074,CSCO,PE Ratio (TTM),15.90 
2075,CSCO,EPS (TTM),2.96 
2076,CSCO,Earnings Date,"Aug 14, 2024 - Aug 19, 2024"
2077,CSCO,Forward Dividend & Yield,1.60 (3.37%)
2078,CSCO,Ex-Dividend Date,"Jul 5, 2024"
2079,CSCO,1y Target Est,54.79 
2080,C,Previous Close,63.16 
2081,C,Open,63.26 
2082,C,Bid,64.58 x 900
2083,C,Ask,64.68 x 1800
2084,C,Day's Range,63.20 - 64.88 
2085,C,52 Week Range,38.17 - 64.88 
2086,C,Volume,"10,883,059 "
2087,C,Avg. Volume,"14,294,685 "
2088,C,Market Cap (intraday),123.488B 
2089,C,Beta (5Y Monthly),1.48
2090,C,PE Ratio (TTM),18.87 
2091,C,EPS (TTM),3.43 
2092,C,Earnings Date,"Jul 12, 2024"
2093,C,Forward Dividend & Yield,2.12 (3.27%)
2094,C,Ex-Dividend Date,"May 3, 2024"
2095,C,1y Target Est,66.75 
2096,CFG,Previous Close,37.16 
2097,CFG,Open,37.20 
2098,CFG,Bid,37.08 x 800
2099,CFG,Ask,37.10 x 800
2100,CFG,Day's Range,37.00 - 37.30 
2101,CFG,52 Week Range,22.77 - 37.30 
2102,CFG,Volume,"929,270 "
2103,CFG,Avg. Volume,"5,106,424 "
2104,CFG,Market Cap (intraday),16.854B 
2105,CFG,Beta (5Y Monthly),1.35
2106,CFG,PE Ratio (TTM),13.33 
2107,CFG,EPS (TTM),2.78 
2108,CFG,Earnings Date,"Jul 17, 2024"
2109,CFG,Forward Dividend & Yield,1.68 (4.52%)
2110,CFG,Ex-Dividend Date,"Apr 30, 2024"
2111,CFG,1y Target Est,39.33 
2112,CLX,Previous Close,134.04 
2113,CLX,Open,133.27 
2114,CLX,Bid,132.40 x 1200
2115,CLX,Ask,132.54 x 800
2116,CLX,Day's Range,131.90 - 133.52 
2117,CLX,52 Week Range,114.69 - 169.14 
2118,CLX,Volume,"265,137 "
2119,CLX,Avg. Volume,"1,265,012 "
2120,CLX,Market Cap (intraday),16.405B 
2121,CLX,Beta (5Y Monthly),0.43
2122,CLX,PE Ratio (TTM),68.09 
2123,CLX,EPS (TTM),1.94 
2124,CLX,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
2125,CLX,Forward Dividend & Yield,4.80 (3.58%)
2126,CLX,Ex-Dividend Date,"Apr 23, 2024"
2127,CLX,1y Target Est,150.04 
2128,CME,Previous Close,211.48 
