,symbol,metric,value
128,AFL,Previous Close,87.66 
129,AFL,Open,87.50 
130,AFL,Bid,87.78 x 800
131,AFL,Ask,87.77 x 1100
132,AFL,Day's Range,87.05 - 87.86 
133,AFL,52 Week Range,64.10 - 88.59 
134,AFL,Volume,"241,210 "
135,AFL,Avg. Volume,"2,222,625 "
136,AFL,Market Cap (intraday),49.844B 
137,AFL,Beta (5Y Monthly),0.91
138,AFL,PE Ratio (TTM),9.65 
139,AFL,EPS (TTM),9.09 
140,AFL,Earnings Date,"Jul 30, 2024 - Aug 5, 2024"
141,AFL,Forward Dividend & Yield,2.00 (2.28%)
142,AFL,Ex-Dividend Date,"May 21, 2024"
143,AFL,1y Target Est,85.25 
144,A,Previous Close,153.67 
145,A,Open,153.58 
146,A,Bid,149.95 x 800
147,A,Ask,--
148,A,Day's Range,152.64 - 154.49 
149,A,52 Week Range,96.80 - 155.35 
150,A,Volume,"1,231,260 "
151,A,Avg. Volume,"1,557,940 "
152,A,Market Cap (intraday),44.799B 
153,A,Beta (5Y Monthly),1.13
154,A,PE Ratio (TTM),36.66 
155,A,EPS (TTM),4.17 
156,A,Earnings Date,"May 29, 2024"
157,A,Forward Dividend & Yield,0.94 (0.62%)
158,A,Ex-Dividend Date,"Apr 1, 2024"
159,A,1y Target Est,150.18 
160,APD,Previous Close,264.66 
161,APD,Open,263.23 
162,APD,Bid,262.92 x 800
163,APD,Ask,266.24 x 1000
164,APD,Day's Range,261.27 - 264.70 
165,APD,52 Week Range,212.24 - 307.71 
166,APD,Volume,"1,053,833 "
167,APD,Avg. Volume,"1,592,909 "
168,APD,Market Cap (intraday),58.833B 
169,APD,Beta (5Y Monthly),0.81
170,APD,PE Ratio (TTM),23.93 
171,APD,EPS (TTM),11.06 
172,APD,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
173,APD,Forward Dividend & Yield,7.08 (2.68%)
174,APD,Ex-Dividend Date,"Jul 1, 2024"
175,APD,1y Target Est,267.85 
176,ABNB,Previous Close,142.71 
177,ABNB,Open,142.58 
178,ABNB,Bid,143.18 x 300
179,ABNB,Ask,143.49 x 200
180,ABNB,Day's Range,142.15 - 143.43 
181,ABNB,52 Week Range,103.74 - 170.10 
182,ABNB,Volume,"1,363,901 "
183,ABNB,Avg. Volume,"4,193,491 "
184,ABNB,Market Cap (intraday),91.03B 
185,ABNB,Beta (5Y Monthly),1.25
186,ABNB,PE Ratio (TTM),19.22 
187,ABNB,EPS (TTM),7.46 
188,ABNB,Earnings Date,"Aug 1, 2024 - Aug 5, 2024"
189,ABNB,Forward Dividend & Yield,--
190,ABNB,Ex-Dividend Date,--
191,ABNB,1y Target Est,152.41 
192,AKAM,Previous Close,94.90 
193,AKAM,Open,94.53 
194,AKAM,Bid,94.46 x 400
195,AKAM,Ask,94.52 x 400
196,AKAM,Day's Range,94.29 - 95.33 
197,AKAM,52 Week Range,86.31 - 129.17 
198,AKAM,Volume,"1,474,996 "
199,AKAM,Avg. Volume,"1,715,846 "
200,AKAM,Market Cap (intraday),14.394B 
201,AKAM,Beta (5Y Monthly),0.72
202,AKAM,PE Ratio (TTM),23.57 
203,AKAM,EPS (TTM),4.01 
204,AKAM,Earnings Date,"Aug 6, 2024 - Aug 12, 2024"
205,AKAM,Forward Dividend & Yield,--
206,AKAM,Ex-Dividend Date,--
207,AKAM,1y Target Est,115.19 
208,ALB,Previous Close,126.48 
209,ALB,Open,126.76 
210,ALB,Bid,124.91 x 900
211,ALB,Ask,125.07 x 1100
212,ALB,Day's Range,124.12 - 126.52 
213,ALB,52 Week Range,106.69 - 247.44 
214,ALB,Volume,"618,408 "
215,ALB,Avg. Volume,"3,190,458 "
216,ALB,Market Cap (intraday),14.713B 
217,ALB,Beta (5Y Monthly),1.65
218,ALB,PE Ratio (TTM),45.36 
219,ALB,EPS (TTM),2.76 
220,ALB,Earnings Date,"Jul 31, 2024 - Aug 5, 2024"
221,ALB,Forward Dividend & Yield,1.60 (1.27%)
222,ALB,Ex-Dividend Date,"Jun 14, 2024"
223,ALB,1y Target Est,150.34 
224,ARE,Previous Close,123.71 
225,ARE,Open,123.04 
226,ARE,Bid,123.29 x 800
227,ARE,Ask,123.82 x 800
228,ARE,Day's Range,122.84 - 124.26 
229,ARE,52 Week Range,90.73 - 135.45 
230,ARE,Volume,"481,243 "
231,ARE,Avg. Volume,"848,874 "
232,ARE,Market Cap (intraday),21.596B 
233,ARE,Beta (5Y Monthly),1.08
234,ARE,PE Ratio (TTM),116.50 
235,ARE,EPS (TTM),1.06 
236,ARE,Earnings Date,"Jul 22, 2024"
